,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-05-08,123.809998,124.610001,121.58000200000001,123.690002,123.690002,366207.0
1,2008-05-09,125.309998,126.269997,124.08000200000001,125.959999,125.959999,387993.0
3,2008-05-12,125.839996,126.400002,123.699997,124.230003,124.230003,338771.0
4,2008-05-13,123.760002,126.980003,123.099998,125.800003,125.800003,347942.0
5,2008-05-14,125.970001,126.040001,123.769997,124.220001,124.220001,375770.0
6,2008-05-15,123.83000200000001,126.639999,120.75,124.120003,124.120003,313213.0
7,2008-05-16,124.400002,127.82,124.040001,126.290001,126.290001,411677.0
9,2008-05-19,126.349998,127.769997,125.279999,127.050003,127.050003,269765.0
10,2008-05-20,127.489998,129.600006,126.66999799999999,129.070007,129.070007,213089.0
11,2008-05-21,129.100006,134.149994,128.600006,133.169998,133.169998,315556.0
12,2008-05-22,133.889999,135.08999599999999,130.070007,130.809998,130.809998,362022.0
13,2008-05-23,130.75,133.71000700000002,130.16000400000001,132.190002,132.190002,425099.0
15,2008-05-27,131.679993,133.649994,128.179993,128.850006,128.850006,321344.0
16,2008-05-28,128.300003,131.580002,125.959999,131.029999,131.029999,326598.0
17,2008-05-29,130.75,133.119995,126.110001,126.620003,126.620003,369868.0
18,2008-05-30,126.589996,128.300003,124.66999799999999,127.349998,127.349998,424268.0
20,2008-06-02,127.629997,129.350006,125.220001,127.760002,127.760002,309342.0
21,2008-06-03,127.5,127.980003,123.870003,124.309998,124.309998,304809.0
22,2008-06-04,124.230003,125.08000200000001,121.839996,122.300003,122.300003,301116.0
23,2008-06-05,122.230003,128.380005,121.610001,127.790001,127.790001,335547.0
24,2008-06-06,128.199997,139.119995,127.809998,138.53999299999998,138.53999299999998,333372.0
26,2008-06-09,137.970001,138.25,133.0,134.350006,134.350006,508749.0
27,2008-06-10,135.020004,137.979996,130.800003,131.309998,131.309998,348554.0
28,2008-06-11,131.78999299999998,138.300003,131.350006,136.380005,136.380005,394361.0
29,2008-06-12,136.53999299999998,137.46000700000002,131.550003,136.740005,136.740005,374434.0
30,2008-06-13,136.970001,137.080002,133.46000700000002,134.860001,134.860001,418094.0
32,2008-06-16,134.41000400000001,139.889999,132.83999599999999,134.610001,134.610001,262875.0
33,2008-06-17,133.600006,135.229996,132.0,134.009995,134.009995,291340.0
34,2008-06-18,133.5,136.880005,131.820007,136.679993,136.679993,307170.0
35,2008-06-19,136.08999599999999,137.820007,131.479996,131.929993,131.929993,225864.0
36,2008-06-20,132.059998,136.800003,131.190002,134.619995,134.619995,194147.0
38,2008-06-23,134.800003,138.139999,134.050003,136.740005,136.740005,278598.0
39,2008-06-24,137.25,138.75,135.899994,137.0,137.0,248739.0
40,2008-06-25,137.070007,137.580002,131.949997,134.550003,134.550003,229371.0
41,2008-06-26,134.520004,140.389999,133.679993,139.639999,139.639999,290400.0
42,2008-06-27,139.440002,142.990005,138.610001,140.21000700000002,140.21000700000002,295773.0
44,2008-06-30,140.600006,143.669998,139.169998,140.0,140.0,277517.0
45,2008-07-01,140.179993,143.330002,139.949997,140.970001,140.970001,253428.0
46,2008-07-02,141.440002,144.320007,140.009995,143.570007,143.570007,238751.0
49,2008-07-07,144.270004,144.529999,139.520004,141.369995,141.369995,193841.0
50,2008-07-08,141.58999599999999,142.440002,135.139999,136.03999299999998,136.03999299999998,304148.0
51,2008-07-09,136.0,138.279999,135.33999599999999,136.050003,136.050003,382404.0
52,2008-07-10,135.800003,142.130005,135.429993,141.649994,141.649994,299142.0
53,2008-07-11,141.800003,147.270004,141.440002,145.080002,145.080002,294339.0
55,2008-07-14,144.690002,146.369995,142.490005,145.179993,145.179993,334940.0
56,2008-07-15,145.190002,146.729996,135.919998,138.740005,138.740005,252605.0
57,2008-07-16,138.770004,139.300003,132.100006,134.600006,134.600006,392225.0
58,2008-07-17,135.110001,136.75,129.0,129.28999299999998,129.28999299999998,293858.0
59,2008-07-18,129.559998,132.03999299999998,128.229996,128.880005,128.880005,379076.0
61,2008-07-21,128.880005,132.050003,128.630005,131.03999299999998,131.03999299999998,208698.0
62,2008-07-22,131.03999299999998,132.070007,125.629997,127.949997,127.949997,133661.0
63,2008-07-23,128.5,128.699997,124.120003,124.440002,124.440002,293435.0
64,2008-07-24,124.459999,126.440002,123.519997,125.489998,125.489998,293200.0
65,2008-07-25,125.599998,126.510002,122.5,123.260002,123.260002,267709.0
67,2008-07-28,123.410004,125.220001,122.629997,124.730003,124.730003,217950.0
68,2008-07-29,124.940002,125.849998,120.41999799999999,122.190002,122.190002,197074.0
69,2008-07-30,121.900002,127.389999,120.800003,126.769997,126.769997,263546.0
70,2008-07-31,126.900002,127.889999,122.709999,124.08000200000001,124.08000200000001,309078.0
71,2008-08-01,124.059998,128.600006,122.099998,125.099998,125.099998,280832.0
73,2008-08-04,125.980003,126.349998,119.5,121.410004,121.410004,277311.0
74,2008-08-05,121.0,121.230003,118.0,119.16999799999999,119.16999799999999,294048.0
75,2008-08-06,118.75,120.489998,117.110001,118.58000200000001,118.58000200000001,316589.0
76,2008-08-07,118.800003,121.779999,117.910004,120.019997,120.019997,307994.0
77,2008-08-08,119.900002,120.08000200000001,114.620003,115.199997,115.199997,304204.0
79,2008-08-11,115.199997,116.900002,112.720001,114.449997,114.449997,297330.0
80,2008-08-12,114.529999,115.949997,112.309998,113.010002,113.010002,295334.0
81,2008-08-13,113.089996,117.459999,112.870003,116.0,116.0,303791.0
82,2008-08-14,116.389999,117.41999799999999,112.589996,115.010002,115.010002,322967.0
83,2008-08-15,114.83000200000001,115.199997,111.339996,113.769997,113.769997,268197.0
85,2008-08-18,113.940002,115.349998,112.0,112.870003,112.870003,276806.0
86,2008-08-19,113.110001,116.650002,111.639999,114.529999,114.529999,178631.0
87,2008-08-20,115.110001,117.029999,112.610001,114.980003,114.980003,149293.0
88,2008-08-21,115.860001,122.040001,115.400002,121.18,121.18,274859.0
89,2008-08-22,121.550003,121.860001,114.18,114.589996,114.589996,308114.0
91,2008-08-25,114.690002,116.059998,113.68,115.110001,115.110001,276216.0
92,2008-08-26,115.5,117.889999,112.360001,116.269997,116.269997,174446.0
93,2008-08-27,116.040001,119.629997,115.639999,118.150002,118.150002,311866.0
94,2008-08-28,118.160004,120.5,114.08000200000001,115.589996,115.589996,265812.0
95,2008-08-29,115.75,118.760002,115.0,115.459999,115.459999,272322.0
97,2008-09-02,116.650002,118.599998,105.459999,109.709999,109.709999,216481.0
98,2008-09-03,110.239998,110.300003,107.220001,109.349998,109.349998,389706.0
99,2008-09-04,109.400002,110.599998,106.519997,107.889999,107.889999,247584.0
100,2008-09-05,107.480003,108.099998,105.129997,106.230003,106.230003,264187.0
102,2008-09-08,107.75,109.889999,104.699997,106.339996,106.339996,249111.0
103,2008-09-09,106.660004,106.769997,101.739998,103.260002,103.260002,317923.0
104,2008-09-10,102.199997,104.970001,101.360001,102.58000200000001,102.58000200000001,332463.0
105,2008-09-11,102.779999,103.949997,100.18,100.870003,100.870003,331516.0
106,2008-09-12,101.150002,102.889999,99.989998,101.18,101.18,311505.0
108,2008-09-15,101.0,101.190002,94.0,95.709999,95.709999,273124.0
109,2008-09-16,94.230003,94.32,90.510002,91.150002,91.150002,334900.0
110,2008-09-17,92.809998,97.629997,91.360001,97.160004,97.160004,327157.0
111,2008-09-18,97.099998,102.239998,95.730003,97.879997,97.879997,343691.0
112,2008-09-19,97.949997,105.25,97.389999,104.550003,104.550003,243360.0
114,2008-09-22,104.970001,130.0,103.349998,120.91999799999999,120.91999799999999,184766.0
115,2008-09-23,108.980003,109.58000200000001,104.050003,106.610001,106.610001,335101.0
116,2008-09-24,106.93,109.5,104.800003,105.730003,105.730003,316025.0
117,2008-09-25,105.529999,108.66999799999999,103.220001,108.019997,108.019997,233417.0
118,2008-09-26,107.699997,108.110001,104.25,106.889999,106.889999,245163.0
120,2008-09-29,106.889999,106.910004,95.040001,96.370003,96.370003,168454.0
121,2008-09-30,95.400002,102.459999,93.360001,100.639999,100.639999,248522.0
122,2008-10-01,101.860001,102.839996,95.970001,98.529999,98.529999,252741.0
123,2008-10-02,98.730003,100.370003,93.559998,93.970001,93.970001,280295.0
124,2008-10-03,93.849998,96.029999,91.300003,93.879997,93.879997,223270.0
126,2008-10-06,92.5,92.68,87.559998,87.809998,87.809998,238984.0
127,2008-10-07,88.959999,93.019997,87.870003,90.059998,90.059998,281987.0
128,2008-10-08,89.559998,90.989998,86.050003,88.949997,88.949997,342917.0
129,2008-10-09,88.800003,89.82,84.190002,86.589996,86.589996,339344.0
130,2008-10-10,84.93,85.129997,77.089996,77.699997,77.699997,248211.0
132,2008-10-13,80.120003,82.519997,79.449997,81.190002,81.190002,363996.0
133,2008-10-14,82.0,84.83000200000001,78.309998,78.629997,78.629997,210714.0
134,2008-10-15,78.75,79.16999799999999,73.550003,74.540001,74.540001,266143.0
135,2008-10-16,73.599998,74.5,68.57,69.849998,69.849998,221136.0
136,2008-10-17,72.300003,74.300003,69.839996,71.849998,71.849998,283094.0
138,2008-10-20,72.160004,76.129997,71.769997,74.25,74.25,141907.0
139,2008-10-21,75.620003,75.690002,69.769997,70.889999,70.889999,137299.0
140,2008-10-22,71.470001,71.800003,66.199997,66.75,66.75,232994.0
141,2008-10-23,67.209999,69.41999799999999,65.900002,67.839996,67.839996,272317.0
142,2008-10-24,69.41999799999999,69.5,62.650002,64.150002,64.150002,256890.0
144,2008-10-27,64.779999,65.769997,61.299999,63.220001,63.220001,253812.0
145,2008-10-28,62.240002000000004,65.199997,61.610001000000004,62.73,62.73,234150.0
